,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
7984,Falling,,,,,ERANGEL,2U4GBNA0Ymn-_Cdv4oWkjCdyBy8JpxhK66GRkakhL3e_ipsY8vXpTh__Bw_Nm3qg,710,zhuishe6,23.0,144264.1,319437.0
35737,SKS,xuxudebaby,12.0,580986.3,380707.8,MIRAMAR,2U4GBNA0Ymkk4WNxi9WgDtyrytfkeTF7U8LFtd4qbRlxhlXiTn1wHXXb5SzesJmB,1153,ROCK_William_LEE,5.0,592484.2,381290.7
45343,M416,CCTVzgr,1.0,119542.1,327624.6,ERANGEL,2U4GBNA0YmkTuEH_giSYlaX0h1FV_0eWbWn4oqIhiAaZOZLEmlvtKesd2nMqJvcA,1556,Fitty_Tucker,7.0,119339.9,326634.8
16937,Down and Out,,,,,ERANGEL,2U4GBNA0YmmEiAqUH86Fu-hsAnEZCnpSMqD48gWMWeRhFBCiGL5os86s60qgTut8,1148,M4-biubiubiu_,2.0,0.0,0.0
55881,M16A4,Nisjran,6.0,530611.0,491184.9,ERANGEL,2U4GBNA0YmlgTS6J4o2xu3FwQwQmegTNC5Dxrg58qoNgmpTo2y7g5m6913ZtV3P2,456,525lzh,30.0,532200.6,491819.1
24259,Down and Out,DiYi-adc,16.0,313081.9,642978.8,ERANGEL,2U4GBNA0Ymnl-bjUqbYJHmulhz_ik5Sy2JE7BC9bWCkiuTr9r5lkRCEmlCMfctsG,142,GongZiYUnb,24.0,313152.6,642942.1
34874,UMP9,Yoyokimi8,24.0,353643.6,295842.0,MIRAMAR,2U4GBNA0YmmcBuKVFSbGNybDqDOjTZILL2JVNHY3waKlArLBwJJnkzZm3P8gM0rD,466,sanda_he,25.0,359029.3,298552.2
54808,Drown,,,,,ERANGEL,2U4GBNA0Ymk6V4bNaEOWkGDfdOrOqv06x_OElfnSJSNxIx-EAUYgt_4xF_Pvu57Q,176,fdgfdmgb,84.0,391005.9,264223.9
29751,Down and Out,jiangwei123zzz,19.0,615301.4,491373.2,ERANGEL,2U4GBNA0YmlXDYa6DXV_P_L1ZW19Psdp2G5ymQN7SBfaTRsZ_d0K4Tb60CnoXqwZ,539,Hciler153,21.0,615588.3,491559.6
5775,M16A4,Double9z,13.0,141865.2,383475.0,MIRAMAR,2U4GBNA0Ymnp7WwAto9g2slLUaiBKUFaPfS2cP7mxfvB4zSMybPXSCofOEAgrxRI,1333,A_Marvelous_Man,17.0,136897.1,385306.1
24815,Down and Out,wanghuan_XH,6.0,366665.2,416011.3,ERANGEL,2U4GBNA0Ymn_ISPy2gdJcLGAlzRbIQ_w3m77AqbhbXPimgb9f9Xiq8hbgHbdD1m-,231,Rikcy007,25.0,364718.4,417597.5
43695,S12K,LZweeklyeasyYH,17.0,693726.8,49282.18,MIRAMAR,2U4GBNA0Ymn6VitA_gDSxZq9EkUHbetbuzNLZQmyHgeMvmTG32D2XCemEKCNXnsh,143,TheSpicyMeatball,25.0,693485.0,49529.58
17141,Mini 14,xDevastatorx,2.0,485152.7,297966.0,ERANGEL,2U4GBNA0Yml2ZSREONxcO3RPIeCTfwqutmdgWRBGxstIr4glA_yKVo_YglO6PyT0,1003,Flagonard,11.0,479991.7,296358.2
48302,M249,Keun-,1.0,156585.2,420831.6,ERANGEL,2U4GBNA0YmlFz8FS4tzZ_jsZcGL5b7M0tmwS_yFbpJMESCG9Y3_Sny8dSvAmxcTY,1734,Dcc-ccD,3.0,175868.9,436781.5
45929,M16A4,123WOSHILAOKONG,24.0,423047.4,324233.8,ERANGEL,2U4GBNA0YmmdIcJr52Ok1HIkWu61yFQQlBNnpG3FdNpOm9S6l9y0OwEhuXg2Nwrx,112,Mini--98K,15.0,422667.0,324136.9
52435,Micro UZI,Mannex,24.0,556197.7,240474.4,ERANGEL,2U4GBNA0YmlyDsMmTrZNCf9nPj0VJ-EleN6ykd-_jS40xMgJlnd2S-xMY2RrOTIV,198,hllll99,16.0,556668.6,240813.9
36240,M16A4,#unknown,28.0,457691.5,627586.1,ERANGEL,2U4GBNA0Ymmm5ufSZVvfu0PpZBQVrAvXukIpoCueQfGOhGYR31NSF1qlxzHEL0E4,83,#unknown,38.0,457354.7,627603.6
3139,S12K,SLAY-GOD,25.0,603214.3,486650.2,ERANGEL,2U4GBNA0YmldsmcWI8PBcmvfdJUtUv9LuMt1MAUqG9aDvVtzvPIGelkR4_3xjGY3,305,qqqwangjun,31.0,603412.4,485972.2
37438,Bluezone,,,,,MIRAMAR,2U4GBNA0Ymnp9iz2Xs-vLpbvWzwrJHNybW6LELw6m3fAgS2Pab4jMH5ZILBmdiWe,1371,LongLaoShi0,7.0,0.0,0.0
33360,S1897,DILIREBA9527,17.0,383175.0,477296.2,ERANGEL,2U4GBNA0YmlFGykM_UDeZkthDu9VtgPYZ3OCXEcbVQG5C3yAba000e5e4Z57XP3n,419,MrFadge,29.0,383284.2,477667.9
39029,Punch,MatiAlfaro,16.0,593336.0,592588.6,ERANGEL,2U4GBNA0Ymlk_o8fQSm8Ew4pS2f-UV5lrrnxHM70Q8VesSrb8K3-VBgqrrtv-7dX,117,SGDivine,24.0,0.0,0.0
45789,UMP9,Dark889,24.0,364972.8,430832.2,MIRAMAR,2U4GBNA0Yml17xVKkBPYmlkDAnrzh70zG3kxZaTsA7rBhhyGFTVmss3yo2xl4cMl,521,sgdgd1234,73.0,0.0,0.0
10449,Down and Out,JR123,1.0,379761.2,424531.4,MIRAMAR,2U4GBNA0YmmCiPgI0pIAFnLn-wsM6eOn8Hu2GcnT__YCFo2k8LtBGoV9Gb5cyk7n,835,Lunkplunk,20.0,379800.6,425380.9
7200,Down and Out,,,,,MIRAMAR,2U4GBNA0YmmZIEjplykShOMA4Mm0oQw7-HntKRiIq1vzO0wMv_EFr4T995gReXAz,1487,Ollix,3.0,310035.9,222483.5
40619,Falling,Ssou666,3.0,538754.7,512395.0,ERANGEL,2U4GBNA0YmlMpcJjixPhwFpgyGX7i7_J4G6-I-n_R9qkCndp6VfwAMBuTi_DZqyN,1225,cheng-18,13.0,535338.4,507450.4
52570,M416,ChineseGay,1.0,605978.4,320906.2,ERANGEL,2U4GBNA0YmljE7Y5IenGFbBw7SoTZ1sD_G4hPVEyii7I2sJC5FHwxAm_AKQJtOj7,1888,JCuddy,3.0,604251.5,317187.7
35641,S1897,miniXXL,17.0,555359.9,230776.4,ERANGEL,2U4GBNA0Ymn1P8i5MKbgWFtnLAAJLTPdw1TfxJdvj5Y3jeC0Vj3bs7qPiHUC4JVa,348,Zsteezy,23.0,555063.1,231186.0
38094,Micro UZI,Likkleviet,3.0,355343.1,314181.1,MIRAMAR,2U4GBNA0YmlmN9OV04IhlvWAEi5_umKbgD3OYbUyA1eaShe2bscyPIyHJGIPHWNj,856,lennythepenny,14.0,355424.9,314069.8
27279,Grenade,VasPalPueblo,9.0,584511.9,335618.2,ERANGEL,2U4GBNA0YmkIUFsXIWKayrX4i9TVxiMl1_a0kRA0IfL2ooJz5zsJcclJWEtgRAL2,1143,ISTD,14.0,587323.1,338247.9
663,S12K,chijijiushigan,15.0,622224.8,376332.1,ERANGEL,2U4GBNA0YmnZDcOwRYKzxWhbr5Jaxxjhp0cRvsI40iOQJdZyGBJb_mcf0ZjzNRGD,333,MuMuQAQ233,33.0,621617.5,376527.4
37287,Down and Out,Erwinyaya,1.0,484286.8,720762.9,ERANGEL,2U4GBNA0Ymn06Yi33jf6GMMITlv6KesAxh63he9WGL-K4Cnzro15uLcLpzJsUufg,1010,CanGamerKid,12.0,486494.5,721120.4
44129,M16A4,Ericloveyou,2.0,572795.6,386172.1,ERANGEL,2U4GBNA0YmlVYqspkOw-r9TFWQXI38Dpm8s21AOfdUPswUuyuewMAcAwaYaP552V,149,Slime-G,28.0,0.0,0.0
38782,S12K,Method420,14.0,702398.4,341618.1,ERANGEL,2U4GBNA0YmnUNYEXPEq-5biNDX4NjbMS1MD6Lhn-EwLbyNyYtkHdFnI3bjXyn43U,129,In-my-heart-,28.0,702835.8,341441.3
24863,S1897,NGAGODDESS,18.0,468188.9,643247.5,ERANGEL,2U4GBNA0YmkuKg5PPPy8-z3ydAteKxPWGFHH74GWl1H5bwd8Cj2X9nrEmqLI5wMv,253,FuguilinGA,22.0,467627.1,643337.7
39113,Bluezone,,,,,ERANGEL,2U4GBNA0Ymn_BzAebsMz5VIFzqV2i872SIrrXnSod5BFs_zQ_fOrvMSWYXrS4r87,661,Tommy_Vatone,20.0,0.0,0.0
43222,Down and Out,wrac,18.0,461021.5,633142.9,ERANGEL,2U4GBNA0YmmA5y2h0ykpzRd6etGWszXukF8LMvwI86NVuYpXkwuUmWupkpy03Q4K,575,PantsOnFire,18.0,462738.1,627370.4
27905,M416,SamuelSavage,19.0,548904.6,227428.8,ERANGEL,2U4GBNA0YmnSq1rns6cy0WD5O2R6GqZyzJOBwY2srBd5dtRKsOM3bnk5IpoKwgq5,177,HighCC12,25.0,548690.3,226962.7
29614,M16A4,Balco77,3.0,251885.4,325686.5,MIRAMAR,2U4GBNA0Ymns-hwYe5EXMlPxnqGSZLuWbd_BdmpkIINSV7UvuqEE0g5MRGhSMUd4,1831,Myrethru,4.0,251164.4,326729.2
41842,Mini 14,HuaZhuBaoBao,24.0,215901.6,268956.3,ERANGEL,2U4GBNA0YmlHPuG4SFMDNjdFA88SMVWh1ifvTDhFIi7Go5pN544aiM1aME6V6Lja,116,Olihu,28.0,216027.1,268011.0
9869,Vector,fUnnysouL-,20.0,258304.2,526784.1,MIRAMAR,2U4GBNA0YmkFLnx7v1qJOXe27L8Ad0WzDI8KGJ8ps9zZJJL7jtqYTzyioV77Y2ll,107,CFD1988,9.0,258127.6,527035.9
33721,Falling,,,,,MIRAMAR,2U4GBNA0Ymlk2jCC4LVxONOXCKPi5bEWiIMiA49oDNqVzmR0ftZW5NxIIi8w_YVD,96,Dogus-Dogac,19.0,505746.9,370083.0
14268,SCAR-L,A1exTheli0n,11.0,315448.6,433610.3,ERANGEL,2U4GBNA0YmmX7BLGf9uwrvs_nB-xrTgI5jDKy3wHGcYG0HcH6Uc_n-RLjmOtHCxk,894,oppaul,7.0,315103.8,433589.2
41908,Down and Out,DDSB941,6.0,665673.4,298161.6,ERANGEL,2U4GBNA0YmlHPuG4SFMDNjdFA88SMVWh1ifvTDhFIi7Go5pN544aiM1aME6V6Lja,1544,Youyilaaa,3.0,665289.5,305914.9
51279,S686,NPC_ZZZZZ,26.0,269315.7,567821.3,ERANGEL,2U4GBNA0YmkYpZEU2TBH_VfcJCugwmgjo0fdB9XDg8OFKtDrpen3R-z0Dl2b6eRF,215,ThisisToni,12.0,269613.3,567180.8
53575,SCAR-L,YouAreMyZhang,57.0,585118.0,335170.4,ERANGEL,2U4GBNA0Ymkyw4fAIuWsbnBkDazH3yf2zXydqWUSdb8DU59FhabU7qdqnZ8UUnti,411,Reapers239,63.0,588379.7,335861.2
53951,SCAR-L,FUSSLBRO,21.0,443551.6,363185.2,MIRAMAR,2U4GBNA0YmnxFUyZSCapTOjTHcLr_NwPHxlRZF4c45WpOvjBKFoX_G3tJTaG67QE,191,Numenyou1314,64.0,443426.6,362997.4
