,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
470,AKM,CocaCola01,4.0,370007.6,170078.4,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1359.0,onebadplayer,11.0,371297.0,168383.7
2589,S1897,ChnkKhalifa,31.0,354428.8,322804.3,ERANGEL,2U4GBNA0YmlrMGbGieGLnoMfRvnSTMDi_db1WhYrVEfERMho7tIvimp3SZVIvxft,375.0,boo_cake,29.0,355094.7,323542.2
5667,P92,DewPePsi,13.0,619951.8,304209.8,ERANGEL,2U4GBNA0YmnIkC2agUfbPkAgjSdKzB4peHEfhtUOmLKAc8G9lzMoBMtZ33Q5p9ll,179.0,Strawhotboy,27.0,0.0,0.0
4974,Bluezone,,,,,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,1157.0,Diao_M1Hu,27.0,0.0,0.0
3152,S1897,SkipIey,22.0,434812.5,593470.4,ERANGEL,2U4GBNA0Ymm_5InGu4XxmbWrPJjpsdwDKldtKteYWNAiZwf0kk_eKg6SGWDmiikq,155.0,AKA-kuma,52.0,434883.3,593069.8
6341,Down and Out,I_Suck_,1.0,659525.9,396887.6,ERANGEL,2U4GBNA0YmmNda7rFfvn-ZVSnpD4e14wBCKCdD6h2Pr5-Au61Oj4yf48-LIn2XhA,1666.0,xianyanlengyu,4.0,663894.0,396856.6
4382,SKS,lv_lao_ge,2.0,602722.2,359221.2,ERANGEL,2U4GBNA0Yml_5G8Drb2z19mFJ0XQ3w6WRVVg1eKkzSZTmta36z3rTTyDNxT3C_WU,1383.0,bike77777,11.0,602224.6,359249.3
3713,Punch,SeregaSwag,1.0,512230.3,358734.9,MIRAMAR,2U4GBNA0Yml0XDizIVK4IxDWB75tIG-FBMzmyEP_fBUj1UAIBJN9VCG7X49NaJ0W,493.0,sky-hy,3.0,512159.3,358672.8
5083,M16A4,YogaXi,1.0,538606.0,425075.5,MIRAMAR,2U4GBNA0YmnU2RHKXlhPQO71mPuk11VrC-gSWzsu-m9L5fsK__Ju6p3_SDIwWRHK,1752.0,CSY1001,4.0,537219.9,425004.3
6108,SCAR-L,liangdada666888,4.0,383186.8,477493.8,ERANGEL,2U4GBNA0Yml6y7HS5CbbbGNCVA8W-Eq9itS5ANu7VhQLdw36LQo9OXoLiY9pzymO,768.0,shengdonghe,25.0,383397.5,477256.1
1378,SCAR-L,IB_E46M,2.0,181804.9,446995.9,ERANGEL,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,1533.0,URK3L,6.0,181776.7,449714.0
3139,S12K,SLAY-GOD,25.0,603214.3,486650.2,ERANGEL,2U4GBNA0YmldsmcWI8PBcmvfdJUtUv9LuMt1MAUqG9aDvVtzvPIGelkR4_3xjGY3,305.0,qqqwangjun,31.0,603412.4,485972.2
3582,S686,gangmenhao0-9,26.0,600096.3,476285.8,ERANGEL,2U4GBNA0Ymn_5YOdbJcWM3qIjn0S_Z3W84sUWo36iLxk6As1P0O7BB5It8tPY8Ss,247.0,zzjk,20.0,599854.4,476786.5
