,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
805373,AWM,#unknown,1.0,331096.2,383638.7,MIRAMAR,2U4GBNA0YmlM7vGrUJ3SHyulhOinh7I43ESgJN1OK4JqRj9YpagUg-0Y9_8PSFzx,1686,RAMU07,2.0,327053.4,403737.3,True,1
13168704,SCAR-L,wu-jia-liang,1.0,222638.9,366924.5,ERANGEL,2U4GBNA0YmlIeeLbBEmFAiY1RlRYcBQrcN-sYX6nygFtceOxLK_qzS1CM3J-fG88,1883,MathChrome5010,2.0,221057.8,369563.9,True,1
7229780,Down and Out,203peipei,3.0,338347.1,260708.4,ERANGEL,2U4GBNA0YmnlkybmRZjv9KtQvQm0GxJh_MfeIfIqHnU4-u3IfVqxz83Jr2R3VfjN,1933,guduyingzi,2.0,340054.9,260647.9,True,1
7562334,M416,CJH--01,1.0,251832.8,347886.4,ERANGEL,2U4GBNA0YmlQ0hmoinE1iyDMzHoQ17bIfyHKvNpeMFbrEp2AQuJPJrapsfcneXFm,1777,kesan,2.0,248427.3,361933.2,True,1
6374600,Down and Out,mchyangbo,1.0,565175.3,480673.1,MIRAMAR,2U4GBNA0Ymmy7pq_LzO0_sf6IH1dj8hkWL-6FVJiErk4TO26OL4chuUo3s7MRwqS,1816,LurBIe,2.0,567107.8,470972.4,True,1
433878,Down and Out,DDinann,1.0,210121.8,618065.2,MIRAMAR,2U4GBNA0Ymmwqfq_sQvwWJwgnR0mBI0Zy5LL_AfSmiKr7q7Tz-gq8gSrSb1elFL7,1794,haohanwang,2.0,210645.6,619059.8,True,1
13314045,M416,peteaAlan,1.0,305524.0,540682.0,ERANGEL,2U4GBNA0YmnMyG8qjwtSuReneN_L88q0AgkjOKEq9IXTAb1n1wbIxiFbbDNTXbj7,2154,emmmmmprprpr,2.0,305082.3,540738.4,True,1
11180319,M16A4,998138,3.0,569359.1,443686.6,ERANGEL,2U4GBNA0YmkuqSnNP3whrrEs9dWJNXP3aCZkA7-KcPrCbGRJ4gnFdbOM9wlDX4QL,1774,U12_JP,2.0,572395.5,457127.3,True,1
7935636,Bluezone,,,,,ERANGEL,2U4GBNA0YmnUm4pTasyjGICg3Y1Q5-MPLDOiGCEYske69t574FKIW6E2puXXtBBv,1652,ZzzMojing,2.0,275756.9,526314.4,True,1
9532548,Bluezone,Supersizer,3.0,407155.9,427337.2,ERANGEL,2U4GBNA0Ymm2iqSM20yTHfipscc2HuirFRMLaN-lcRLQ8XACuLWkdjfPs7DIrj3Z,1883,DudeCmon,2.0,408475.5,432663.5,True,1
2920894,Mini 14,bigkiwi_9,1.0,340185.7,443878.2,ERANGEL,2U4GBNA0Ymkt07enlwBEjNNj9lMp4GVDYgnVhqPRa1_DwKnNN7mluEyDONeFNNWQ,1773,drashi2002,2.0,343593.3,446883.3,True,1
3884595,SCAR-L,Q2637934838,1.0,596032.7,287515.7,ERANGEL,2U4GBNA0Ymk9OwEQVJgIezDKYLKwNwl_zOL1gzZ3l1W6suwGSPmCBTvRRhLS1BqX,1889,OccupationHouse,2.0,592815.3,289583.8,True,1
2890461,Groza,NoHide,1.0,530841.8,222128.0,ERANGEL,2U4GBNA0YmmB-hRnURnRCp8GAvVTBA14jvS7Q_TpD4EMgvO_RKiHyiEFuXHbbyCC,1920,AlanLWz,2.0,529821.3,221621.9,True,1
6429003,Bluezone,,,,,ERANGEL,2U4GBNA0YmnhQG6zXZmXcQdd0ZrWI7U8EzcbmgPmQ0-zCGxV3xha2fZfg4svrrP9,1945,Mr_Meeseeks_,2.0,383145.5,243074.8,True,1
9058,M416,#unknown,6.0,514240.8,462961.1,ERANGEL,2U4GBNA0YmlM9qTuvc9qEVChpcWoEA8InpqVZJCCgpgdmu4pHFLFWxtLK47y8Ky9,1734,Sannian7281,2.0,502123.0,462063.9,True,1
8251023,Down and Out,Always-B,1.0,537618.6,313188.8,ERANGEL,2U4GBNA0YmnjciG6pPEzs8ALw-OGgqktOhen5JA0plzgc8QUGMRlnfPytcsSq5c4,1798,NPC-Sniper,2.0,542284.9,308667.6,True,1
12470218,Down and Out,Zhangetsu,1.0,531015.6,406186.3,ERANGEL,2U4GBNA0YmmjTEZbwQR6plwLM0ECjEx2V4C8llAyLnrwC6AmP5TVn0VYo6FUV7QZ,1896,Mirae99,2.0,531120.8,403477.9,True,1
3243599,AKM,ak47ssk,1.0,426574.3,567776.4,MIRAMAR,2U4GBNA0Ymk0-XKie1M8YwOLTdIvxuFz6co_H831IkRZlGC5cz2eTed4v_TJzuUH,1897,wwrttdfgasda,2.0,423490.0,567634.1,True,1
10542913,AKM,Shark82186,1.0,207353.5,350825.2,ERANGEL,2U4GBNA0YmlYpRrXr7WgaJO3MA3RA4U_J5S-5EU2b3mR9spOF6q_RvYSjJ8RJT8c,1918,AlmightyGamer,2.0,207033.3,350672.1,True,1
3137516,UMP9,BuskEr,1.0,547098.8,421805.0,ERANGEL,2U4GBNA0YmnNLreeDF5_KTWc-ButNGBuswO-8EdIplLrArm6rMzdAoK2JvXhzkCU,2092,Cremisino,2.0,548060.3,421663.9,True,1
2976543,M416,CDWONE,5.0,166865.9,337772.6,ERANGEL,2U4GBNA0YmnrHF3yDc3xSa6k7W8y44YmwUVE-ZeadpJpWGOAXr8CxG-88vK7HoNT,1234,Killritian,2.0,159398.6,337846.5,True,1
10452376,Bluezone,,,,,ERANGEL,2U4GBNA0Ymm57vaKdWT_qbEFHnyLRT9-lLA5wguxfVxP4ghhkSDGRAlIkcraq35I,1763,Scoops_,2.0,355454.9,323769.6,True,1
9369950,SCAR-L,PawnAlen,1.0,368936.8,625878.0,ERANGEL,2U4GBNA0YmnV_I1tnasDgpoZ3VzbXDLeIx421Fsu6RTTykJgPg7gkJrPrfamHZvr,1748,Iwannahide,2.0,378364.5,635986.3,True,1
6822567,Down and Out,AR_ruzi,12.0,473465.0,304556.0,MIRAMAR,2U4GBNA0YmmkHs5fA5XkKkuzdFSbPLGrvDa2qs8oSItRpeu3pHVLqlqRObn8WM0m,1319,guizi456,2.0,471784.7,296617.2,True,1
2709929,Down and Out,blackcay,1.0,693952.1,281658.8,ERANGEL,2U4GBNA0YmnhxXwBhwkW7W7dBXxwR9imHJHxeWB7XBxfcQrEJdvq2OpuJjI1bMFu,1959,Zzxt19c,2.0,692188.4,282690.5,True,1
2531414,Micro UZI,ZZY321,41.0,362678.0,392559.7,ERANGEL,2U4GBNA0YmmLwq7Z0vnZRo8zML0r3JEid_WqrOGl-Cl7bSB87VlKqsunrOxALtMG,209,hyevely,2.0,362002.4,393198.5,True,1
10249486,Grenade,Favekill,12.0,475595.8,430715.6,ERANGEL,2U4GBNA0YmmI9yuruLWHtJd51uLbxl1RVPkgRXRX_CZYUa1NDXvvcq5bWKfIfLVW,934,TeslaTrooperYYX,2.0,466181.5,423911.3,True,1
7383796,M416,Sister-Squeezer,1.0,557486.9,640894.4,ERANGEL,2U4GBNA0YmlATRZufSrTRpuOsypJcfOvj82xwtOnuPY3t_Co69eoAuyxxGOVVvTp,1856,00067,2.0,554342.3,641595.0,True,1
1048141,AKM,DingDingBoShi,4.0,183430.6,550548.7,ERANGEL,2U4GBNA0Ymk9chwtVcUTxiblvGSp0kjq67BkqfmL9c2cdfzlq9n1iC9VIuVwiJFC,1550,YBlack-,2.0,172899.8,559103.3,True,1
6689759,M416,Akimot00,5.0,142911.1,158054.4,ERANGEL,2U4GBNA0YmkmPtJ5-cZyS8FxLikv_fFxCcy5URQwyf_tcb3ovttwWdX_q1AZVUEB,1520,liverpool5,2.0,153529.7,171358.8,True,1
4048079,Down and Out,haoweiwudi,4.0,496057.2,311494.3,ERANGEL,2U4GBNA0Yml0qbGDFlR0ebOxQi80hyQcJWfKYHljSrDqwpSYDF9wAwe5kMyQFe-W,1731,FFFFFF-Hay,2.0,504593.8,307237.3,True,1
445009,AWM,Braddicus370z,1.0,466677.9,402713.6,ERANGEL,2U4GBNA0YmmMD2q2Ct7i_BR92jEgEr5GO6UxID1jNSyR7d53iYqUpfj8RS9rMmtu,1879,haopapa0,2.0,474157.8,403954.2,True,1
