,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
12066991,SCAR-L,heixiu-a,5.0,417944.9,172970.5,ERANGEL,2U4GBNA0YmlskytiYIsK--D-bIvw4rP_XobAB3CmYK4bwqAaBq7k04blpwrR3-CD,1692,mengdyyyy,2.0,421400.5,189166.5,True,1
10873973,Down and Out,mountain_G,7.0,236935.1,545517.6,ERANGEL,2U4GBNA0YmnLBlx2Q8bT7FEv7yejcTjO2WNwJufXCKN_OdPr-zGpt4oxHUHR0GYk,1524,DeicideSlayer,2.0,241810.1,537987.0,True,1
3224412,Down and Out,Fancy9527,1.0,380125.1,652250.0,ERANGEL,2U4GBNA0Ymksjm5LZC1avl8Un-FU7En0coDPaUAnUQOjpoWAjWBiTR9_f8cq--7R,1888,SXF2651,2.0,377241.2,651802.4,True,1
2822594,Down and Out,Hoogian,1.0,442269.1,402836.4,MIRAMAR,2U4GBNA0YmkGMPRZRRz2vPX-WdxjJSe80gXpVVFuow6qt0N4beaLzC3G8W0i_yq_,1918,xiaohongmao1113,2.0,448676.2,402823.6,True,1
1645754,Mk14,pYd_dev1ce,1.0,271586.2,218722.3,ERANGEL,2U4GBNA0YmnmxEWfmGqErjlYTWeojp3EcNuDqbUikrn5A50qAuoF_gDhcMS-7Twn,1793,RegisKillbin,2.0,283027.1,225649.0,True,1
5198010,M416,Sfugodd,1.0,262087.4,544511.7,ERANGEL,2U4GBNA0YmnWZUvOtKnb6a2lIgBen-A7VWh9XVNEMkX0YH_hWzpVGl74d0LPt_t3,1870,XiaGe_NB,2.0,263264.4,548183.2,True,1
3996030,Kar98k,babadebabadebaba,3.0,602151.1,443426.1,ERANGEL,2U4GBNA0YmlnAPdIl3D9dHm7XV7ewJOHxWb-t9BIed2f_YRiUGKGPxm3DeOqZdZG,1520,TODDYSON13,2.0,611848.6,425345.3,True,1
10700886,Bluezone,,,,,ERANGEL,2U4GBNA0YmnGHzd14juENEqHPwsMzzrLGHJZpo1rdB6oe0CHX_JuajszJ9uz6Qk0,1777,Dauz,2.0,657523.4,358834.6,True,1
6922292,Down and Out,AresJony,1.0,510974.0,169162.0,ERANGEL,2U4GBNA0YmlWbjrYiyTqQFYgYcFlC9HwIcnXAVqC4ZV1-PE9JUjAMUKlz07XkzWf,1772,Big6Shing,2.0,512257.6,171888.1,True,1
11765532,Down and Out,MMyff,1.0,567450.9,347834.4,ERANGEL,2U4GBNA0YmmiqVl3zO5IC0UT2FZB5haWN16uKKe34U_Acau-0zICfDfGssDM6ay6,1635,DarkAgony,2.0,571471.2,338886.4,True,1
12077513,Down and Out,K1ngJ1ng,1.0,592342.8,383049.2,MIRAMAR,2U4GBNA0YmkIhqRaKLlVrgK7EqTJHeMf_iN28sNZxRtM0XEtnVRq3dY2auLTAFs1,1753,ziAzan,2.0,586829.6,387708.4,True,1
3758052,M416,Tw33der,1.0,358081.0,124499.4,ERANGEL,2U4GBNA0YmleO6rM5ne3AZFLhpr7REdUTVa_Ay3KVLErxdWSu4wyhxHj7rivbuem,1640,Tonny_Hawkeye,2.0,370207.6,120403.6,True,1
9425975,Down and Out,Chukutin,1.0,235563.0,224291.9,ERANGEL,2U4GBNA0YmldK5bwkfKwRrqman3RKlbC8Df08JWVWwvKBmHiaX8-gzbJBmFx4iDK,1589,Frildo,2.0,230443.5,222300.7,True,1
3681934,Down and Out,,,,,,2U4GBNA0YmnnU1tpu3eJ0sbnm3c0hSHe1EA-5Hw_b_sCr3XQc83T04vlWh2DQ97i,1508,Druplet,2.0,0.0,0.0,True,1
11597001,Down and Out,Messenga,3.0,466268.9,377233.1,ERANGEL,2U4GBNA0YmmDnOz0DbRBZtJN71OsnIArk8qtZ3JnYRuMGwO02Iu880feJIdih-xk,1844,Qyhyjh,2.0,457393.0,371219.2,True,1
7455423,S1897,Taozi_111,24.0,445127.1,624209.8,ERANGEL,2U4GBNA0Ymm3OTnUTphGvuo8zD0IB35dRdo-ByDCv8YHP1BI7tfYY-o4dPYdFpU-,142,83-WX,2.0,445114.3,625074.4,True,1
7761389,Down and Out,StKLAK,1.0,517526.5,549737.6,MIRAMAR,2U4GBNA0YmkTNrxhFfKUbeQrPBHrBp8ojFL-KL-zlifxcsGbP4NN1R-qRzlsKoYe,1941,Huere,2.0,516865.5,549350.4,True,1
9590776,Uaz,Nigthwish,4.0,432787.2,197537.1,ERANGEL,2U4GBNA0YmmkrZUyIJJPHysfwWrsy1Vp_xN8tryOgPXKbB2FIUSd_xOqxRYxQITV,1720,rtygfhgfjgfj,2.0,424449.9,202838.1,True,1
8736002,Punch,laoguo36,21.0,451481.6,623195.9,ERANGEL,2U4GBNA0Ymneo62Ar5aDkwXrk9CkI3_bS5RMncew_Gv1pJKqsQzAOenCanDaEoTQ,429,LemonHua,2.0,451588.6,623168.8,True,1
13350024,Falling,Superuu,1.0,429246.6,290758.8,ERANGEL,2U4GBNA0Ymmc8JXB3q1KWZWNCzTXy_u__DhCdQ_F-Gm6T_hd1mMka1P_3aNBTKrq,1922,Pendoragon,2.0,431190.2,295052.4,True,1
4724596,AKM,Adoby,7.0,464858.5,95192.4,ERANGEL,2U4GBNA0Ymk7roldSIHfT0TOO4hUHP847RVSDKqi2FxlvOxDKwxjiZW1pN3tgLmv,1648,OscaRubio,2.0,465023.8,95133.46,True,1
6380009,M416,nidaye778,1.0,347127.4,182210.4,MIRAMAR,2U4GBNA0Ymn2AabmuVvXaAOKzEHkYFVwcTWFnQdis5BxUT6omw3P4cVoprG-MS5W,1767,Amo666En,2.0,345999.6,166623.5,True,1
4418347,Down and Out,gorillapunch614,6.0,349019.7,341815.0,MIRAMAR,2U4GBNA0Yml_bP2DfO9LasOwzTR77uMCkMpRu3dasw2T9xlozwbDwxLd2rYz30dk,1239,Feig666666,2.0,345614.3,341837.4,True,1
9684442,Down and Out,Dmyyyyy,1.0,476282.6,249158.9,ERANGEL,2U4GBNA0YmkUnP3k75xxLO6bQ4K6-J84NTIBOF-FVmG2x1zilpa7OW5j8KlPdtmJ,1880,stilldoll,2.0,476100.3,249882.8,True,1
2927530,M416,Angleyoung,1.0,413039.9,483893.2,ERANGEL,2U4GBNA0YmkHzwl58c0LMoA9Rj-C4TZsCsbeh-8TaKJzEf4SaENqScLeC8pDBXUD,1772,PascalsTriangle,2.0,412534.6,481735.5,True,1
9606452,M416,lan-long,1.0,254516.9,506080.1,MIRAMAR,2U4GBNA0Yml2Wp-oUKDXGfHLqFlieBZns6BdfpR47hy7libc8JQKHHDO8DnxSygD,1827,MrGhostGaming,2.0,257458.8,507064.1,True,1
7966463,AKM,nigulasiz4-,4.0,487452.9,495847.6,MIRAMAR,2U4GBNA0YmkCAK7tn6ZSvKggN5iRh6p3IvWXjaCDQbBKmEnUnZIPO5qdmpyCF4TI,727,YuYePiaoYao,2.0,489363.2,489936.5,True,1
12433370,Down and Out,lushenjiadao,1.0,350011.8,62752.73,MIRAMAR,2U4GBNA0YmnPyV4XzNcXyZcbI1IBEXUcby0M_AaNKW7fRbA6z2MWKiGrIgjFdYBb,1869,xiaotianxiey,2.0,350690.3,63127.03,True,1
8939188,M416,e7pin-Hanhuhu,1.0,104397.2,352076.6,MIRAMAR,2U4GBNA0YmnJ256umzgc3WuUagIQEPmZKq1ZiWzgysSbiXH9Iorbz1bW3AnIYjDm,1816,Sesabcv,2.0,103474.5,348779.8,True,1
3394455,Down and Out,HEAISHANMEI,1.0,374848.7,373430.1,ERANGEL,2U4GBNA0Yml2wbY2_n1x4YkSY-eyA1DvuZLKih5KhiPGoCh1gI0C9zYF5Q4qg8ir,1888,Heatin-koyl,2.0,387837.1,373502.2,True,1
6151131,M416,asdfasdgdfefgsdf,6.0,569965.0,461415.2,ERANGEL,2U4GBNA0YmmavAoZqcmR3CRNY2k2Cq7rutuLvsXps2k9N8Uata_GKxeTZMqUFSPU,1512,Regina_lin,2.0,563358.4,465582.0,True,1
3792745,SCAR-L,sololaosiji,1.0,354333.8,182128.2,ERANGEL,2U4GBNA0YmmddpY9oIrxJHbtn0qWbfFBLCpLRKwS2cIyTkFDeaSKo-5X2HGz445K,1806,0205266416531,2.0,356649.1,176278.6,True,1
1448190,Grenade,too5352,1.0,332922.9,362457.8,ERANGEL,2U4GBNA0YmlbZFG2BWFLHDiW3ZtPUwkszI6GYryDnn0tD1tX_2hEgk1hFtySyxKs,1843,ly-wwwww,2.0,333826.9,355992.1,True,1
8257848,Down and Out,,,,,ERANGEL,2U4GBNA0Ymk0QMuX_VDCx3YhEUC__Wny1P3-MVSHz8BBPv4IB-dqg9L3ye_WZMNk,1368,spczys,2.0,414433.4,505322.8,True,1
12601423,Down and Out,Langgege1218,20.0,356395.1,390800.8,ERANGEL,2U4GBNA0YmkaZ6aiUGClZQVxkGuRsiiaRk9kMX_5pqrdDfh5q00hYMSNlCWjDuGf,675,Mariah_Memes,2.0,359834.2,395750.8,True,1
11535736,Down and Out,mohrPANDArchy,4.0,235418.0,475247.2,ERANGEL,2U4GBNA0YmkuSSln0TxRUgAyoD5k_jn4aKu8LljWXp1RSCeWBaJ4tJqPV9nbZaFu,1598,missyang80,2.0,241148.0,469754.0,True,1
7196498,Down and Out,woailiyi,1.0,649003.4,376391.4,ERANGEL,2U4GBNA0YmlQqepBfrGmrMFntEPo7k3i3wSKUeEs53vwwU_QXcLAwZqjsRIkyGBv,1861,BZY-007,2.0,648481.8,381258.5,True,1
6073526,Mini 14,MaxnanosuitV3,1.0,290178.9,365559.9,MIRAMAR,2U4GBNA0YmmFpkmuFJaeT9x1PjgPrU27pwmORccR_AC3E587n_z13s23ohKH154D,1863,iJustBlaze,2.0,289910.7,367399.9,True,1
12837339,Down and Out,SparN_TianKong,1.0,584071.1,275314.1,MIRAMAR,2U4GBNA0Ymkcb5LXuSVDPIxXdT9jfKXj6UG6_nVVFtGRq8CBbXU_NbuxajTsVIok,1953,zieft,2.0,589465.1,279666.2,True,1
12629636,S1897,theguineo,10.0,707229.7,332728.4,ERANGEL,2U4GBNA0YmlLHzNzuDeHJfzylzchhBnkejt7c_07ZGDJJmPMlm1FKm178cSflY_8,147,DQP-Luxury,2.0,707318.4,332829.9,True,1
13170879,Grenade,ShawnSucks,1.0,387104.9,602183.7,ERANGEL,2U4GBNA0YmltjVrUCSpad7XpikWoMHWPw36z8gN4TXPMS_-pVXiJmdNBj5_0eztu,1787,NooseAlmighty,2.0,391402.1,596218.6,True,1
10556474,SCAR-L,HCommander,1.0,425778.4,338960.2,MIRAMAR,2U4GBNA0YmknmTkT-hRNKODFVy8tnADr2j_VtJp3XdkoEJGoxMIObCLWUKQAYZEE,1793,Heartyu0,2.0,411069.1,343028.1,True,1
10659577,AKM,JuJuCollins,1.0,378514.9,432023.1,ERANGEL,2U4GBNA0YmnPsxSkN3HDtRECk_N_9Dd01xvUGD6XAPDGN1Sx6e2vnRd9ak8HEX86,1855,Gabado,2.0,380052.9,433504.3,True,1
1247272,Grenade,Ceipheid,1.0,411020.9,259920.0,ERANGEL,2U4GBNA0YmnmgG1Mli3Q0AfqfvsvTMxNUeh2P3FgHHiTe7S0HH_udbsaFur492-h,1959,lilei66666,2.0,415502.6,261870.1,True,1
214697,Bluezone,Kanter666,3.0,0.0,0.0,ERANGEL,2U4GBNA0Yml0Yke62vK4liI_N1SCN0Q_Cc01U4XpwxhEC12tjK37cl730TK4vufG,1884,XXXXSFA,2.0,446032.8,182227.1,True,1
3562448,M416,Ty-M1k3,1.0,528616.3,356008.9,ERANGEL,2U4GBNA0YmlC9omGxQfzF3wN1y08tT1ogouENfH5I3DVYTlaJsiFgTpNFj-Je-6-,1852,adayede,2.0,522144.9,351538.7,True,1
3465135,M16A4,T1mor,1.0,374854.4,452583.9,ERANGEL,2U4GBNA0YmklsIWYk0nBmuTZUgqBg01yLu4dHqThuH9WAi9VHQWslTB8tCjo81Y1,1871,Dirse,2.0,372505.3,451374.2,True,1
6194214,Down and Out,Hiuhiuz,1.0,479432.1,253141.4,ERANGEL,2U4GBNA0Ymkfj07suS_6aUOLFoWOPvSty8yPjtPsTRrusH0nd7wsckE-uhO6GfBQ,1880,Varii,2.0,475321.3,252387.9,True,1
2708797,SCAR-L,WGnuQ-188-11183,1.0,364164.3,369378.9,ERANGEL,2U4GBNA0YmkPAX-LMWHCbndAwnLjnETPin2dpbdSuBCeWgT8lcji4S2n69G1OD3b,1853,StrikeOO,2.0,372526.2,361768.9,True,1
8411278,Micro UZI,ignite23,3.0,318151.2,349365.4,ERANGEL,2U4GBNA0YmnHNIGyiGYDaGpOePJkarW02BQeWLPYjFLI42KNYtGEJ_ikaKqOrBR3,619,sy69213,2.0,318420.6,354393.7,True,1
7003709,Down and Out,loser_wang,1.0,373053.3,466529.9,ERANGEL,2U4GBNA0Ymmg_cJrWfNYUKhtRECfLrMV6kS77epSeQZKSSpEIlr-hc3lhLQOXX_9,1949,ChiefPyramid,2.0,374621.9,466960.6,True,1
7269491,SCAR-L,Binbaba,1.0,506647.4,403191.0,,2U4GBNA0Yml1R8iZ8rWIDSQMQQprPBy6n7V-lalYN6jcClvm95piZ2HJY9xsbwXe,1807,Byd_Faker,2.0,507205.2,402936.1,True,1
12134859,Tommy Gun,fadel,21.0,165541.3,281362.8,ERANGEL,2U4GBNA0YmnlaUzbw4nLtCmlkyOdLLugBZnnIbZK8bn1K-Eq4-_Lx-EOj5HMuHqC,207,FORPIAN,2.0,165322.3,281629.8,True,1
5557780,M16A4,Sharjes05,1.0,396889.7,206828.8,ERANGEL,2U4GBNA0YmmxSdyrw9NzkqN6r_R1Whyenkh04AAgbXgfrBksGGUqhMDGIOmWkikB,1875,FabledShogun,2.0,404836.9,208255.7,True,1
7324670,SCAR-L,Gizmondo,1.0,324766.3,182647.2,ERANGEL,2U4GBNA0Ymmg_6_7KuS03CI0RwPiamqnJyjw8QCpT9gSsnx31zE3t6RNQUZ9gZot,1848,kylebee,2.0,323008.2,182361.9,True,1
12821596,Bluezone,silas1422,1.0,211058.4,578372.3,ERANGEL,2U4GBNA0YmnxRM30e9GnPMa-V1Iywdb_qE24O8VkeV1YzFDHvx_p_uoX14xGVwRc,1885,gzft,2.0,208360.0,570632.4,True,1
7138139,Bluezone,,,,,ERANGEL,2U4GBNA0YmlX1R4m5yHtwZAfkeveAliH_MzcoqTNEmQaco9H38BgdvxcrguSIY3q,1947,SurvivalGG,2.0,553114.4,400787.2,True,1
12464429,M416,BighandsomeBee,1.0,576759.9,383530.0,ERANGEL,2U4GBNA0Ymnxf_iE1hBzz5d6NP9e4COFJD29siCR8diEFE-_V8NHyflUaIK48KiL,1973,Tajoh,2.0,574930.4,385023.7,True,1
3962876,Punch,x988426,23.0,161391.6,549742.9,ERANGEL,2U4GBNA0Ymn33B2TtLBHpT6fn0oPqmtx6QKtabR7NOnYc50F-9WV_3kIs_KNcOcB,212,Xiaobainiubi123,2.0,161249.7,549810.0,True,1
9667787,M416,Wlfbyntr,1.0,584803.7,295263.5,MIRAMAR,2U4GBNA0YmksOTO7a03pfb6w-lesyb1KtwIj6o9gokJ-A7pBS42p-RUnjfLynTCz,1827,iJustDootied,2.0,585184.8,296854.6,True,1
10581838,M416,Thergud,1.0,459608.7,547929.1,MIRAMAR,2U4GBNA0YmkVwjPJheL2THA3HEB8vN1nI2FuTWuzzLWURJwsBriak_y270qUB_KB,1960,plijia123,2.0,462011.2,549784.7,True,1
8392624,Down and Out,Rigoletto18,1.0,414452.5,147569.7,MIRAMAR,2U4GBNA0YmmphgxEaOG5PKrH9C1NJKW5shOrhmkpiafllBIa91lyNNr_LMWtQs40,1874,OHOHWilliam,2.0,411040.9,151990.2,True,1
7143518,Down and Out,,,,,ERANGEL,2U4GBNA0Yml9anGXSuryFOzdy2NTmBW-eO6voIQcbxVZRxdpCjhZX94EbjiTfcR_,1525,SCW1987,2.0,369495.5,524427.5,True,1
498765,Grenade,ImUrfaher,1.0,396309.5,499963.6,ERANGEL,2U4GBNA0YmnYwvM09jnqJ_SlmaHnbM0kTbUoZsV22nNlmREqcg0D2a47884hF5iD,1773,KissKiller001,2.0,391278.3,504108.1,True,1
4734813,Down and Out,caiyez,1.0,351430.7,174139.2,ERANGEL,2U4GBNA0Ymk1xJDubeltIdJ8fZSxBkI5KQODElPzXVNSYvACj70NJaFfN10I70Va,1855,Quan-ge_666,2.0,353264.8,169669.0,True,1
7164028,Down and Out,Grandpa_Milk,1.0,364034.9,630831.2,ERANGEL,2U4GBNA0Yml-60IPcAI3tYQ-rA25XRNHg1k7Y2iNTJvOPCcuDEJiWiENueb1V5P3,1850,cryeggplant,2.0,360263.1,632496.2,True,1
5211484,Mini 14,Abdullah-x7,1.0,572212.6,291060.4,ERANGEL,2U4GBNA0YmnDLr_ielJnwTuhtFjV_8AaBlnCQbl3qVe434R9xguO-AoKazOqHI6K,1856,OkayBoom,2.0,564477.6,289930.3,True,1
4318579,Bluezone,,,,,ERANGEL,2U4GBNA0YmmybOgtcuS20QR643hPejlakvgRqvD_pUggP5e09bb-I3ac2mBzbhQ3,2189,CHEMROKI,2.0,157245.8,466311.8,True,1
6900716,M16A4,Bigpappachump,1.0,413865.9,234930.7,ERANGEL,2U4GBNA0YmkRQpTRfDDgiaw3I8uX10MLdNQ4irWcFjeLBHGk0tHZc1xvBd02nVcU,1867,OG_Cruse,2.0,411681.3,229873.7,True,1
9972840,M416,NoobCandy,1.0,512018.6,422209.5,ERANGEL,2U4GBNA0Ymn6wS-SNUEGr4Ztciry3upxB2TkYfXmKHfaHxuKSwYsoYw4fom2edRg,1867,ScorpionKing_117,2.0,513521.0,420593.4,True,1
9690716,Kar98k,87490333,4.0,556401.6,233206.1,MIRAMAR,2U4GBNA0Ymmnoeihg2HpYi3IZGn3q8SIX7NQ_rGg2BAsZyc-qa9A2PE0xjzektoC,1592,Lanws,2.0,563418.1,244274.1,True,1
13381844,SCAR-L,Uspear,21.0,377675.4,557743.9,ERANGEL,2U4GBNA0Ymnip9oBPlv18AKS8PObVeqnInSb3TSgHpw2wk0Y-kZy-iqJVW_sThz9,1877,LiyLLLL,2.0,374683.3,562107.4,True,1
11999897,Punch,smjz1996h,23.0,400349.8,350295.9,ERANGEL,2U4GBNA0Ymlf4P-5cdSOxNKITb0ufcWIwMuzcMHfaYD2Lqm_6K_q9r22UpieE_BQ,227,aqingqing,2.0,400346.2,350216.3,True,1
12657370,Tommy Gun,AlexB766,6.0,360455.8,248030.9,ERANGEL,2U4GBNA0Ymn4fskBSHxXHsK1mrDAiT12QFNi1u7hr0ofCpqGelJFcmLu-DgPiFnt,1559,wuhongye,2.0,360843.0,248532.2,True,1
5721315,AKM,GUDUNevermind,1.0,150908.7,422830.6,ERANGEL,2U4GBNA0YmloBCn9AkKgnWSr1PxH_OaXB2Js9Bje5dZwBYsM1KtC0kNld9yI4_dv,1810,eqingya,2.0,151518.9,422656.2,True,1
3274109,Down and Out,AgentSA,1.0,399390.3,316511.2,MIRAMAR,2U4GBNA0YmnlbIKM9ldxLaE30TuNWofQk0uBrGmmFy2K6gPD_DeQssGJiLy7j_c4,1883,lonelinessla,2.0,398934.3,315547.1,True,1
7778233,SCAR-L,Mycarry,10.0,289308.2,267844.9,ERANGEL,2U4GBNA0YmmANsUjPUfsWTh0NXhF3mAurSrjQ5FyT0A0Y0X0p7qmRy5iqsnr2GcW,1292,NIcknJouy,2.0,289957.1,267371.7,True,1
13348113,Down and Out,jasontong666,4.0,530976.0,642250.3,ERANGEL,2U4GBNA0Ymm5jq5YiLE6RtwGFT2IpcadIZIm2CijKj-Cz5BoBuCBUcb_A241LZVa,1727,liyingbing666,2.0,525689.9,642266.9,True,1
10824166,Grenade,qingkingyes,1.0,107783.3,346963.3,ERANGEL,2U4GBNA0Ymm0i1nlTrD0yKhIamr3Mt_JzZJMiDWs5mHD0gNGP9KHr8GLg3BrPF2m,2010,gaosijianxiang,2.0,103626.0,346440.6,True,1
5039802,Down and Out,,,,,ERANGEL,2U4GBNA0YmkYr_Xu3VfjpMUX-XGkaelmhFtOwICj0ZRBOS-nPSb6LL2mZPI943bR,1772,Bruce_Leeroy,2.0,411421.0,304920.8,True,1
73892,Bluezone,,,,,ERANGEL,2U4GBNA0YmmfEsMmacaQYjoKldVMHeGHX9mkuZeJ4QOqDsTseGrmK6rJQSMzdqJY,1507,Zhy-nb,2.0,459107.7,521060.8,True,1
746972,Bluezone,,,,,ERANGEL,2U4GBNA0YmleNMp1kboWbHh9q5npbTl_zdFQD_8smFsQjwZaOM2lOn8FeMsQlVX9,1957,HC-ming,2.0,476345.8,472925.9,True,1
387841,S1897,The_Shields,16.0,562903.1,388768.8,ERANGEL,2U4GBNA0YmnlJi_qAS2PGZmw2dzaelZqyPoqSKRnalv5kVaEPN6f4C9Uljjq8FJH,479,S1lverWard,2.0,562517.1,389414.6,True,1
234594,Bluezone,,,,,ERANGEL,2U4GBNA0YmmuMPjYu63AJ9XXiXBNaWD57AMttcB3aVNJtc-7QnXIRgw1mQKwxxuG,1650,Farstarxx,2.0,348783.7,286376.0,True,1
9140595,M16A4,xulei91,3.0,368647.8,336666.3,ERANGEL,2U4GBNA0YmnwvxIhkKQxblIjBraSKLtV8YWdUpbRtqBLsSyvgQKZjXWgkQqxYjpV,895,Proper_Prodigy,2.0,374951.6,355582.6,True,1
3368370,Down and Out,MADGT,1.0,377032.9,426172.3,ERANGEL,2U4GBNA0Ymk6gA4wk9Ea24xwYjTqq1O0SCc8eD8YP9_a4rNBEMjo9wsYXKNqJmMJ,1953,lujia123,2.0,378459.1,429489.3,True,1
5696214,AKM,Zerosk8er850,1.0,206643.8,506497.0,ERANGEL,2U4GBNA0YmlKSh4t53bVZRJJuG4N4UGTLyORv601DfRFwAuyF8_86SSTKiGDwzS5,1766,God0fNoobs,2.0,205786.5,499290.6,True,1
9557233,Grenade,XueJianGuFeng,1.0,633086.4,258946.5,ERANGEL,2U4GBNA0YmklmAzxjM0hzbIM0jKIu1CQjexamyIG_faapxx9bCU0Ky8uYl9YUnt9,1916,yi0210,2.0,630914.0,257921.6,True,1
13293624,SCAR-L,DKerwin,10.0,164303.2,318699.8,ERANGEL,2U4GBNA0YmmeAajc9lp_ilALg3MqGoMew9AwtpsRYizA56ouDT5HOL_ymJyU8tTT,1723,Mr--LQ,2.0,167802.0,321114.7,True,1
8023040,Mini 14,Jay_Tu,1.0,399259.5,188318.7,ERANGEL,2U4GBNA0YmmYGjSttR1kUKEhBYPmgQJ194lTaiaut1Toen4xkaRJmmZHMbtEGjCN,1765,GIROLAMO_,2.0,408266.9,186118.3,True,1
11568858,M416,anzuchan,1.0,499881.8,285091.8,ERANGEL,2U4GBNA0YmmKbBuuBchFDCt1o6EmsW6TeBGFfR25yzgj8oV1IqX4vEpCUJjV8_d4,1868,QIGENOK,2.0,504189.8,287873.2,True,1
525277,SCAR-L,Lipe2bala,1.0,591411.3,427370.6,ERANGEL,2U4GBNA0Ymkuq-jJA2-oZ4JP1g7TQvwSIPvxRzTSCg4NA9GQxY3mKiRgflTtXLg-,1844,Imhendiao,2.0,593814.4,438810.2,True,1
3904329,Bluezone,,,,,ERANGEL,2U4GBNA0Ymk04Sk_GHWuJ8E9wcQIwfI-jtKQg--RME8eDvvubCA2GavxG_VvxivS,1867,Qiersimon,2.0,544878.6,339768.2,True,1
2299611,Groza,whatfuck1,7.0,381801.5,578322.9,ERANGEL,2U4GBNA0YmkD7jow05_uq7pvVgqjhphln9p5axoNG3hf_DhCjQjd47ehoqXQeDzY,1425,PrincessMidnight,2.0,380201.2,575474.9,True,1
11517409,AKM,sFc-Firbl,1.0,416375.9,197977.6,ERANGEL,2U4GBNA0YmmC-Zu-iohdtVk__tLvIx7mW1LRM1oqwMAdNVUK7Ox3KxCl1MKU82KB,1785,EE666six,2.0,413633.8,195427.0,True,1
1647498,SKS,luoxiaohunihao1,7.0,294812.9,386046.8,ERANGEL,2U4GBNA0YmkUxlXTQpnXX5xGOSN_AnBdy8Ylh6DqlyW2vHKKWICTSgu_tRPh2lD7,931,dandan21520,2.0,286991.1,400001.5,True,1
1200310,Kar98k,fukmyazz,1.0,300561.8,656908.7,ERANGEL,2U4GBNA0YmmPWXVsqLIz2Sv4v-KWawBxNr46N2IaxF7BcarrriXDFNktjiszamO0,1880,Park_Avenue,2.0,298908.2,648141.0,True,1
1883445,Down and Out,jinyuhenku,1.0,415835.8,438188.9,ERANGEL,2U4GBNA0Ymn6PSLCQDl01CayVLnupYbfYFV-9-_orzqq5WaybZj6IQlgC02OONvD,1635,Codym131,2.0,422416.2,447919.9,True,1
7177263,Down and Out,Neden,3.0,493875.3,384861.8,ERANGEL,2U4GBNA0YmmuZVOyVK-VPNvuzuwUqDx0S4-ZK15pgW0t4iGYWJMcmd89LQAX3a3Q,1708,Zachy,2.0,494066.0,384852.6,True,1
810911,SCAR-L,Touhuazei,1.0,244535.5,398602.8,ERANGEL,2U4GBNA0Ymk_2FJu5Pu0HWx9i3JDM9pHjd-utpwNUOyQ78e3IcI-6_KgkhcjniGv,1980,Reyinzhi,2.0,243960.0,395635.2,True,1
7264292,M416,DejiK,4.0,572238.7,286426.5,ERANGEL,2U4GBNA0Ymn65oBd6GQd97Dyy1sE80rgYprg6_mB9utUsrJOx63CrsQODzsPy4Cw,987,DiehardxECFx,2.0,585150.3,293465.5,True,1
2934293,Kar98k,Blazeeeee,1.0,221116.8,236557.2,ERANGEL,2U4GBNA0YmkJa6FnShwSQ-wqlj8NJyoAuH7e0aCGwg_R7i9pMZAApL5x3AWyMGhY,1861,FREE10086,2.0,221876.3,243009.9,True,1
12011911,Kar98k,ImaGoodGuyFkU,3.0,515194.2,464887.3,MIRAMAR,2U4GBNA0YmnEiOCF_NuAF6YpeOsXOG7yvox2KnxJ0fa_iohnOEWhtU1E0rF00ru_,1727,FakeWriter,2.0,524322.1,452049.1,True,1
7576466,Down and Out,Jerall,1.0,483118.9,432437.6,ERANGEL,2U4GBNA0YmkkjNtQ3NjSdVtEN5abHftNeR1AeU7WWTX0yZAVvN9Y4b3LsCjp1gac,1884,Eli56,2.0,481757.4,422162.6,True,1
2500983,SCAR-L,YoMomAHoe,1.0,511574.8,276064.4,ERANGEL,2U4GBNA0YmkeI6W5Ty-zEEiqb7QqaaLcOp-S_Gla7Ckdorowi_jzm9IYxGIjQw-V,2038,Nice_Beaver,2.0,510553.9,277754.0,True,1
9280647,Down and Out,Yubari98,5.0,102677.9,292828.6,ERANGEL,2U4GBNA0YmmIsnZ9G75Gp3nKcs7KwGBtPDrKgzcrkKnYhF_V756d97Tw1lL3hM3T,1612,Benchfinkle,2.0,101686.7,293581.1,True,1
5123353,M16A4,thesteaks,1.0,499249.4,427944.5,ERANGEL,2U4GBNA0Ymkrrmqp0nxkLnBInxi43yRqZwmqq5aNTnfAAt4he57KtNpiNjc7oAj-,1880,SaberToothWolf,2.0,502280.1,420609.9,True,1
5742982,Kar98k,jiaowozhuoge,1.0,463118.4,650922.3,ERANGEL,2U4GBNA0Ymm2rSb9oKuKNPVZhCXXeeTpT7P7yXacLfOb156YYgIgzYXX92LZA9IA,1476,panfu373,2.0,475928.3,662167.3,True,1
5110833,M416,SmilAgain,1.0,655166.4,413791.9,ERANGEL,2U4GBNA0Ymnbb1JkQvIDJqije9XWnDhCQ0esFa18kMnHAwo51SLuVhWe6h_UFVG_,1959,BIGJHG,2.0,657726.1,417275.8,True,1
4822464,M416,LJINHAI,1.0,545095.8,451449.3,ERANGEL,2U4GBNA0Yml6hGG-10-c7thWgJYVkmr_O4LbKG62thSyHS_yMIN8TfEHln5xY-cH,1828,FuDMo,2.0,544678.3,451081.5,True,1
