,Unnamed: 0,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
3863,1320,Bluezone,,,,,ERANGEL,2U4GBNA0YmnMiL8FxzK-xRalmDs8__VvvNzmntjlIzBi0DttiOYQ5ltAx4LN3Q0q,1884.0,Quziye,2.0,203577.9,503262.1,True,1
3949,6110,SCAR-L,Nicolas6Neng,1.0,640744.8,197079.8,ERANGEL,2U4GBNA0Yml6y7HS5CbbbGNCVA8W-Eq9itS5ANu7VhQLdw36LQo9OXoLiY9pzymO,1843.0,Dorisyoyoyo,2.0,642118.8,193744.2,True,1
4018,3557,Mini 14,PTY-REY,1.0,326808.9,156864.8,ERANGEL,2U4GBNA0Ymn_5YOdbJcWM3qIjn0S_Z3W84sUWo36iLxk6As1P0O7BB5It8tPY8Ss,1948.0,Riotheaven,2.0,334843.4,158446.3,True,1
4024,4554,SCAR-L,JDXF-LaoM,1.0,199461.5,555778.0,MIRAMAR,2U4GBNA0Ymmc9iQSXPdXmsArOhTIR61JwcNH4n6Z2nEAsPYw5VWoAVcAEkqWJV2_,1786.0,Bangbangchick,2.0,206733.4,545583.6,True,1
4032,3395,Bluezone,,,,,ERANGEL,2U4GBNA0YmkpfMEoYocYZGCkLIZxf_dSclL_3Uka55GkexzQT_BfyFFNs0d766rH,1757.0,Lordgog,2.0,502539.6,470788.9,True,1
4129,1623,M416,Warsna,1.0,511050.6,356793.3,ERANGEL,2U4GBNA0YmnZ4vJC-aEUY9riuYVJgtIdnp017vKbMe8pVLHPO6SzRFJO7xtISNWh,1964.0,Brocolisa,2.0,510936.7,353066.9,True,1
4132,5594,Grenade,dabaozi1,1.0,379181.9,313730.4,ERANGEL,2U4GBNA0YmnIkC2agUfbPkAgjSdKzB4peHEfhtUOmLKAc8G9lzMoBMtZ33Q5p9ll,1806.0,SBF_Trigger,2.0,383922.6,316400.1,True,1
4144,5474,Down and Out,pkx555pkx,1.0,461319.7,546746.1,ERANGEL,2U4GBNA0YmkjhaUwplfoVLqul92VDhKXl5hULS1OLwDPJPtzmWvIE1EcsGKKaBhu,1883.0,PPoison_,2.0,464003.9,552207.6,True,1
4211,1545,Down and Out,,,,,ERANGEL,2U4GBNA0YmloUGIumcTO14gr8rgZVexJO_xpcOj0xMlmhrLlJjOYL4g75Nlf53Hw,1962.0,shigeno21,2.0,243606.7,485961.2,True,1
4240,46,M416,DouYuTV-SeaL,1.0,567049.2,290710.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1966.0,TedHQW,2.0,564992.1,290137.1,True,1
4246,6622,SKS,koenig121,1.0,342335.5,674257.7,ERANGEL,2U4GBNA0YmklPmDKT1cDXoaHMN1y1wAsoa0LpWJvq0ECYyIqfcku0GqbF9TXMaiX,1835.0,MadBluntMan563,2.0,332425.9,673400.6,True,1
4255,6001,Down and Out,EVEN1982,1.0,346470.4,660386.1,ERANGEL,2U4GBNA0YmkjIvgdQAAyeZk0ZnYEpNtpJODztcsiH83QHqhfGTN1jSPP1lzCb4Jv,1878.0,TexasPistol,2.0,334838.4,659182.4,True,1
4299,6464,SCAR-L,1rawnic,9.0,268659.9,224305.8,ERANGEL,2U4GBNA0YmlMqUy26Nx8Rmm3UjhNVwg6rFwjs4FGnjp83bGmwSELWoDpqkrt6FPZ,1490.0,Lunatoris,2.0,268659.4,225169.7,True,1
4445,433,Down and Out,VSUPciwei,1.0,396289.3,308352.7,ERANGEL,2U4GBNA0YmmLlZbT02zMNt2JlWQ2eYFKRG02TGemIK1RM2eWZoZ5_MZmkLiA6Xuu,1864.0,Ursdad666,2.0,394014.9,303887.9,True,1
4473,2157,Bluezone,,,,,ERANGEL,2U4GBNA0YmkRFnEnlar5FbJrM9fzxmAkpXnhkbdlw89MM6k2sU8rq4IflvUQopVZ,1875.0,fyrentattoo,2.0,527311.6,673847.4,True,1
4492,3795,Down and Out,,,,,ERANGEL,2U4GBNA0Ymmqi6D7r12UG8ati2jqy4CV05j9y-WqN6DaTb3ViX7zAkhxTGYUWzF3,724.0,YangBaBa9084,2.0,398803.9,386237.1,True,1
4525,223,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1867.0,Spacemode,2.0,503327.2,426248.7,True,1
4541,4599,Down and Out,EyeK0n,1.0,604202.6,266134.0,ERANGEL,2U4GBNA0YmnI8sBpN1d7iOn4qfI2KPi85kLkMnaj_eVTWN4euC5RcLf96wRQlKOI,1860.0,mignoso,2.0,596290.4,260322.6,True,1
4588,5516,Down and Out,Sweggles102,1.0,304242.7,297933.8,ERANGEL,2U4GBNA0YmnTdCV0yjZ9FJT5KTQXu_J-mDD7JVI77_afKJCjBGNcQH8tMVM5wf0m,1807.0,MisterNoOne,2.0,315792.2,309601.8,True,1
4619,1977,SCAR-L,RX-JIANG,1.0,394900.1,136397.1,ERANGEL,2U4GBNA0YmkJt4dyUUT94MOYESuKm2MQu1eh08EFdbeeGClsVzdp38FeLRv2PSVm,1886.0,edsaEDSA,2.0,395647.9,136825.7,True,1
4642,3570,Mini 14,NickOjiiSan,3.0,344975.4,125946.7,ERANGEL,2U4GBNA0Ymn_5YOdbJcWM3qIjn0S_Z3W84sUWo36iLxk6As1P0O7BB5It8tPY8Ss,1386.0,gjbro22,2.0,336925.9,121316.8,True,1
4649,1399,Down and Out,Hiten1215,3.0,142862.0,450664.9,ERANGEL,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,1967.0,OMG_Ye,2.0,142304.1,450233.5,True,1
4677,4090,Down and Out,YanRuyu-,1.0,291734.3,236120.5,ERANGEL,2U4GBNA0YmnUX8tPU61HZRcRoGWE48u9_mAhu4VmmphV3S-xkb4HgExWgoOQMIH8,1877.0,tltiger,2.0,297610.8,236603.0,True,1
4702,2852,M416,NAIGEN,1.0,268276.0,306640.9,ERANGEL,2U4GBNA0Ymk9oWjnPmYXWVwfOe3D-owgLcMqizYDazwhqu6tKBLK_OFrxSLqNWwI,1911.0,Chenxin9,2.0,272015.8,307686.3,True,1
4772,5387,SCAR-L,FlynnBigBalls,1.0,434650.6,166530.6,ERANGEL,2U4GBNA0YmnNOKktVk9Qv5ZxUnnxXk1-kUI03yF8vbYyzdTaiA36TPjP5mJ01mkE,1882.0,Jamesnadu007,2.0,433276.4,161447.3,True,1
4823,391,AKM,VSUPciwei,1.0,396662.7,307742.9,ERANGEL,2U4GBNA0YmmLlZbT02zMNt2JlWQ2eYFKRG02TGemIK1RM2eWZoZ5_MZmkLiA6Xuu,1864.0,Babo-ABC,2.0,396531.8,304991.7,True,1
4855,2485,SKS,Mr--666,1.0,275262.9,477020.1,ERANGEL,2U4GBNA0Yml5t9opndGwDeKjNoARfVrCVQIWxSji9WqktJfXvvA7eZryQpYWuuxM,1824.0,zyc_xxx,2.0,274469.9,485502.2,True,1
4866,6349,M16A4,Im-Gnaes,1.0,646396.2,380237.3,ERANGEL,2U4GBNA0YmmNda7rFfvn-ZVSnpD4e14wBCKCdD6h2Pr5-Au61Oj4yf48-LIn2XhA,1817.0,Bosy520,2.0,646708.2,377178.5,True,1
